"State	Gasoline Tax",Gasoline Tax / gallon
Alabama,$0.28 
Alaska,$0.09 
Arizona,$0.18 
Arkansas,$0.25 
California,$0.54 
Colorado,$0.22 
Connecticut,$0.10 
Delaware,$0.23 
District of Columbia,$0.34 
Florida,$0.35 
Georgia,$0.31 
Hawaii,$0.16 
Idaho,$0.32 
Illinois,$0.42 
Indiana,$0.33 
Iowa,$0.27 
Kansas,$0.24 
Kentucky,$0.25 
Louisiana,$0.20 
Maine,$0.30 
Maryland,$0.43 
Massachusetts,$0.24 
Michigan,$0.29 
Minnesota,$0.29 
Mississippi,$0.18 
Missouri,$0.22 
Montana,$0.33 
Nebraska,$0.29 
Nevada,$0.23 
New Hampshire,$0.22 
New Jersey,$0.42 
New Mexico,$0.17 
New York,$0.18 
North Carolina,$0.41 
North Dakota,$0.23 
Ohio**,$0.39 
Oklahoma,$0.19 
Oregon,$0.38 
Pennsylvania,$0.61 
Rhode Island,$0.34 
South Carolina,$0.28 
South Dakota,$0.28 
Tennessee,$0.26 
Texas,$0.20 
Utah,$0.36 
Vermont,$0.36 
Virginia,$0.28 
Washington,$0.49 
West Virginia,$0.37 
Wisconsin,$0.31 
Wyoming,$0.24 
